op_command,op_string,op_data_type,op_short_description,op_long_description,op_optional,op_in_out,op_group,op_postion,op_default_text,op_default_int
./Plotroc,-s ,filename,pSNP varients frequencies,"pSNP varients frequencies, output from pSNPgenerator.R.",,,,,,
./Plotroc,-I ,filename,"Illumina read, Locus file from VarientListe","Illumina read, Locus file from VarientListe",,,,,,
./Plotroc,-J ,filename,"Illumina read, Locus file from VarientListe","Illumina read, Locus file from VarientListe",,,,,,
./Plotroc,-K ,filename,"Illumina read, Locus file from VarientListe","Illumina read, Locus file from VarientListe",,,,,,
./Plotroc,-P ,filename,"PacBio read, Locus file from VarientLister","PacBio read, Locus file from VarientLister",,,,,,
./Plotroc,-Q ,filename,"PacBio read, Locus file from VarientLister","PacBio read, Locus file from VarientLister",,,,,,
./Plotroc,-R ,filename,"PacBio read, Locus file from VarientLister","PacBio read, Locus file from VarientLister",,,,,,
./Plotroc,-S ,filename,"PacBio read, Locus file from VarientLister","PacBio read, Locus file from VarientLister",,,,,,
./Plotroc,-T ,filename,"PacBio read, Locus file from VarientLister","PacBio read, Locus file from VarientLister",,,,,,
./Plotroc,-U ,filename,"PacBio read, Locus file from VarientLister","PacBio read, Locus file from VarientLister",,,,,,
./Plotroc,-l ,int,Start looking for pSNPS from this locus,Start looking for pSNPS from this locus,,,,,,
./Plotroc,-u,int,Stop looking for pSNPs after this locus,Stop looking for pSNPs after this locus,,,,,,
./Plotroc,-t,string,Title of ROC plot,Title of ROC plot,,,,,,
