op_command,op_string,op_data_type,op_short_description,op_long_description,op_optional,op_in_out,op_group,op_postion,op_default_text,op_default_int
./stampy.py,-G ,string,Build genome index,Build genome index PREFIX.stidx from fasta file(s) on command line,1,-1,,1,,
./stampy.py,-H ,string,Build hash,Build hash PREFIX.sthash,1,-1,,1,,
./stampy.py,-M ,filename,Map file(s),Map fastq/fasta/BAM file(s),1,1,,2,,
./stampy.py,-S ,filename,Simulate reads ,Simulate reads following empirical qualities from read FILE,1,1,,1,,
./stampy.py,-P ,filename,Parse simulated SAM,"Parse simulated SAM file, and report statistics",1,1,,1,,
./stampy.py,-A ,filename,Convert qualities,Convert qualities,1,1,,1,,
./stampy.py,-g ,string,Use genome index file,Use genome index file PREFIX.stidx,1,1,,1,,
./stampy.py,-h ,string,Use hash file,Use hash file PREFIX.sthash,1,1,,1,,
./stampy.py,-t ,int,Number of threads,Number of threads to use [1],1,0,,1,,
./stampy.py,--maxbasequal=,int,Maximum base quality,Maximum accepted base quality [50],1,0,,1,,
./stampy.py,--bamkeepgoodreads,,do not re-map good BAM reads,"(-M X.bam) If set, do not re-map already well-mapped reads from BAM [False]",1,0,,1,,
./stampy.py,-o ,filename,output FILE,Write mapping output to FILE [stdout],1,-1,,1,,
./stampy.py,> ,filename,output FILE,Write mapping output to FILE [stdout],1,-1,,1,,
./stampy.py,,filename,fasta file build index,Build genome index from fasta file(s) on command line or paired end reads second input file.,1,1,,3,,
