op_command,op_string,op_data_type,op_short_description,op_long_description,op_optional,op_in_out,op_group,op_postion,op_default_text,op_default_int
./VarientLister.sh,-i ,filename,Input BAM file.,Input BAM file to be searched for pSNPs,,,,,,
./VarientLister.sh,-t ,filename,Template fasta,Input template fasta file,,,,,,
./VarientLister.sh,-f ,int,Frequency of pSNP bins,Number of frequency bins used in FK pvalue estimation,,,,,,
./VarientLister.sh,-r ,filename,Read centric data,,,,,,,
./VarientLister.sh,-l ,filename,Loci centric data,Output filename for loci centric output data,,,,,,
./VarientLister.sh,-b ,filename,Bionomial values out,,,,,,,
./VarientLister.sh,-p ,filename,Poission pvalues out,,,,,,,
./VarientLister.sh,-k ,filename,KF pvalues out,,,,,,,
./VarientLister.sh,-c ,int,Pre calculate Factorials,,,,,,,
./VarientLister.sh,-d ,int,deletion threshold,,,,,,,
./VarientLister.sh,-e ,int,insertion threshold,,,,,,,
./VarientLister.sh,-u ,int,substitution threshold,,,,,,,
./VarientLister.sh,-q ,int,pre qualitiy filter threshold,,,,,,,
./VarientLister.sh,-a ,int,post quality filter threshold,,,,,,,
./VarientLister.sh,-h,,help,,,,,,,
./VarientLister.sh,-v,,version ,,,,,,,
./VarientLister.sh,-x ,filename,In bax.h5 file,Input bas.h5 input file,,,,,,
