op_command,op_string,op_data_type,op_short_description,op_long_description,op_optional,op_in_out,op_group,op_postion,op_default_text,op_default_int
java -jar  VarScan.v2.3.6.jar somatic,--output-snp,,Output file for SNP calls ,Output file for SNP calls [default: output.snp],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--min-coverage,,Minimum coverage,Minimum coverage in normal and tumor to call variant [8],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--min-coverage-normal,,Minimum coverage ,Minimum coverage in normal to call somatic [8],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--min-coverage-tumor,,Minimum coverage,Minimum coverage in tumor to call somatic [6],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--min-var-freq,,Minimum variant frequency,Minimum variant frequency to call a heterozygote [0.10],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--min-freq-for-hom,,Minimum frequency ,Minimum frequency to call homozygote [0.75],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--normal-purity,,Estimated purity ,Estimated purity (non-tumor content) of normal sample [1.00],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--tumor-purity,,Estimated purity ,Estimated purity (tumor content) of tumor sample [1.00],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--p-value,,P-value threshold ,P-value threshold to call a heterozygote [0.99],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--somatic-p-value,,P-value threshold ,P-value threshold to call a somatic site [0.05],1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--strand-filter,,removes variants,"If set to 1, removes variants with >90% strand bias",1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,--validation,,compared positions,"If set to 1, outputs all compared positions even if non-variant",1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,>,,output file,output file,1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,2>,,,,1,,,,,
java -jar  VarScan.v2.3.6.jar somatic,,,output file,output file,1,,,,,
