op_command,op_string,op_data_type,op_short_description,op_long_description,op_optional,op_in_out,op_group,op_postion,op_default_text,op_default_int
./bwa bwasw,-a,int,score for a match,score for a match [1],,,,1,,
./bwa bwasw,-b,int,mismatch penalty,mismatch penalty [3],,,,1,,
./bwa bwasw,-q,int,gap open penalty,gap open penalty [5],,,,1,,
./bwa bwasw,-r,int,gap extension penalty,gap extension penalty [2],,,,1,,
./bwa bwasw,-w,int,band width,band width [50],,,,1,,
./bwa bwasw,-m,double,mask level,mask level [0.50],,,,1,,
./bwa bwasw,-t,int,number of threads,number of threads [1],,,,1,,
./bwa bwasw,-f,filename,Output file,file to output results to instead of stdout,,,,1,,
./bwa bwasw,-H,,Use hardclipping,"in SAM output, use hard clipping instead of soft clipping",,,,1,,
./bwa bwasw,-C,,copy FASTA/Q comment,copy FASTA/Q comment to SAM output,,,,1,,
./bwa bwasw,-M,,mark mult-part alignments,mark multi-part alignments as secondary,,,,1,,
./bwa bwasw,-S,,Skip smith-waterman,skip Smith-Waterman read pairing,,,,1,,
./bwa bwasw,-I,int,Ignore inserts >=int,ignore pairs with insert >=INT for inferring the size distr [20000],,,,1,,
./bwa bwasw,-T,int,Score threshold divided,score threshold divided by a [30],,,,1,,
./bwa bwasw,-c,double,Coefficient of length,coefficient of length-threshold adjustment [5.5],,,,1,,
./bwa bwasw,-z,int,Z-best,Z-best [1],,,,1,,
./bwa bwasw,-s,int,maximum seeding interval size,maximum seeding interval size [3],,,,1,,
./bwa bwasw,-N,int,Seeds to trigger,# seeds to trigger rev aln; 2*INT is also the chaining threshold [5],,,,1,,
./bwa bwasw,-G,int,Maximum gap size,maximum gap size during chaining [10000],,,,1,,
./bwa bwasw,,,<target.prefix> <query.fa> [query2.fa],<target.prefix> <query.fa> [query2.fa],,,,2,,
./bwa index, ,filename,input fasta file,bwa index [-a bwtsw|is] [-c] <in.fasta>,,,,1,,
./bwa index,-a,string,BWT constrinction alcorithm,"BWT construction algorithm: bwtsw or is [auto] Warning: `-a bwtsw' does not work for short genomes, while `-a is' and
         `-a div' do not work not for long genomes. Please choose `-a'
         according to the length of the genome.
 ",,,,2,,
./bwa index,-p,string,Prrfix of index,prefix of the index [same as fasta name],,,,2,,
./bwa index,-6,,Index file named,index files named as <in.fasta>.64.* instead of <in.fasta>.*,,,,2,,
./bwa mem,,,index and fastq file)s_,Usage: bwa mem [options] <idxbase> <in1.fq> [in2.fq],,,,2,,
./bwa mem,-t,int,number of threads,number of threads [1],,,,1,,
./bwa mem,-k,int,minimum seed length,minimum seed length [19],,,,1,,
./bwa mem,-w,int,band width for banded alignment ,band width for banded alignment [100],,,,1,,
./bwa mem,-e,int,off-diagonal X-dropoff,off-diagonal X-dropoff [100],,,,1,,
./bwa mem,-r,double,Interal seed threhold,look for internal seeds inside a seed longer than {-k} * FLOAT [1.5],,,,1,,
./bwa mem,-c,int,Skip seeds threshold,skip seeds with more than INT occurrences [500],,,,1,,
